"empresa","modo","almacen","sku","producto","cantidad","costo_unitario","valor_faltante","level_id"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000048","Puerta Roble 80*200","-1.0000","3349.37","3349.37","6b2f85f4-1f52-49ee-b433-aad1408c27ad"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000072","Puerta Roble 90*210","-1.0000","3349.37","3349.37","38e8ce3c-70db-4fb1-b81e-188dd040291d"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000071","Puerta Roble 95*210","-1.0000","3349.37","3349.37","b1dc00a7-ebd6-40ac-9d02-a1cd27bb3bb8"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000067","Puerta Roble Con Placa - Especial Ancho < 115  ","-28.0000","5464.29","153000.12","db87f0fb-736c-4229-8315-6998c27f4160"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000068","Puerta Roble Con Placa - Especial Ancho >= 115  ","-30.0000","5820.69","174620.70","0072df15-9e71-436b-b400-6878768c7151"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000070","Puerta Roble JTT -Especial Altura","-3.0000","4639.12","13917.36","3223b95e-c27c-47af-8ba5-f5a742b624a8"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000065","Puerta Roble LP - Especial Ancho < 115  ","-10.0000","4683.00","46830.00","293c696b-688d-41d7-b3b7-f30e34bd0b8b"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000066","Puerta Roble LP - Especial Ancho >= 115  ","-10.0000","5039.39","50393.90","a4efabde-769c-4f15-a7b8-8231e8d1c24d"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000055","Servicios Instalacion","-116.0000","0.00","0.00","f09f20da-3876-427d-985a-7eb0376a5160"
"Latin Doors S.R.L","PRODUCCION","Principal","PROD-000052","Ventana Corrediza","-129.0000","265.30","34223.70","f81591b8-6845-4d2d-8b45-27e773c2b403"
